date,total,android,ios,credit_cnt_total,credit_cnt_android,credit_cnt_ios,has_amount_rate,has_amount_rate_android,has_amount_rate_ios
2016-05-25,10743,5336,5407,5013,2980,2033,0.552164372631,0.480201342282,0.657648794884
2016-05-24,10510,5082,5428,4920,2908,2012,0.567276422764,0.503438789546,0.659542743539
2016-05-23,10990,5182,5808,5026,2939,2087,0.559888579387,0.496427356244,0.649257307139
2016-05-22,10208,4726,5482,4508,2652,1856,0.575643300799,0.506033182504,0.675107758621
2016-05-21,9638,4733,4905,4532,2700,1832,0.567740511915,0.505925925926,0.65884279476
2016-05-20,10387,4998,5389,4952,2865,2087,0.57633279483,0.502617801047,0.677527551509
2016-05-19,10572,4994,5578,5060,2854,2206,0.583596837945,0.5,0.691749773345
2016-05-18,10065,4816,5249,4886,2814,2072,0.581866557511,0.514570007107,0.673262548263
2016-05-17,9672,4800,4872,4525,2761,1764,0.558674033149,0.496197030062,0.656462585034
2016-05-16,9886,4644,5242,4440,2703,1737,0.547072072072,0.476507584166,0.656879677605
2016-05-15,8782,4354,4428,3919,2410,1509,0.556009186017,0.498755186722,0.647448641484
2016-05-14,8404,4474,3930,4129,2512,1617,0.565754419956,0.512738853503,0.648113790971
2016-05-13,10270,4967,5303,4668,2869,1799,0.557412167952,0.49180899268,0.662034463591
2016-05-12,10767,4966,5801,4708,2852,1856,0.561597281223,0.507363253857,0.644935344828
2016-05-11,10504,5109,5395,4827,3013,1814,0.563496996064,0.515101228012,0.64388092613
2016-05-10,10068,5030,5038,4848,2978,1870,0.555074257426,0.488247145735,0.661497326203
2016-05-09,10715,5169,5546,4773,2874,1899,0.567777079405,0.501043841336,0.668773038441
2016-05-08,9820,4699,5121,4124,2505,1619,0.573714839961,0.518163672655,0.659666460778
2016-05-07,9645,4930,4715,4300,2614,1686,0.567209302326,0.507651109411,0.659549228944
2016-05-06,10704,4795,5909,4797,2802,1995,0.56931415468,0.507851534618,0.655639097744
2016-05-05,10925,4807,6118,5323,2820,2503,0.583881269961,0.514893617021,0.661606072713
2016-05-04,11081,4776,6305,4847,2792,2055,0.55683928203,0.492836676218,0.643795620438
2016-05-03,10253,4684,5569,4653,2709,1944,0.568450462067,0.514950166113,0.643004115226
2016-05-02,8851,4146,4705,3816,2326,1490,0.566823899371,0.51203783319,0.652348993289
2016-05-01,8230,4018,4212,3748,2294,1454,0.558964781217,0.520052310375,0.620357634113
